,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
697791,853,2.0,2.0,10010.0,H1,5.0,6361.0,252109.0,51.0,1.0,31821300.0,1909.0,-73.9873552,40.7412686,3
697792,856,2.0,2.0,10010.0,O4,5.0,83937.0,1159795.0,34.0,32.0,112364100.0,1928.0,-73.9855866,40.742745,0
697823,862,2.0,2.0,10016.0,O4,5.0,40487.0,852731.0,25.0,67.0,129690000.0,1928.0,-73.9826012,40.746332,0
697987,1015,2.0,3.0,10036.0,O4,5.0,41586.0,686603.0,32.0,201.0,83747700.0,1927.0,-73.9867132,40.757221,0
698017,994,2.0,4.0,10036.0,O4,5.0,14947.0,217855.0,29.0,74.0,27010800.0,1918.0,-73.9856417,40.7549619,0
698111,1121,3.0,6.0,10023.0,D4,3.0,15002.0,225552.0,24.0,168.0,23638500.0,1967.0,-73.9781387,40.774012,2
698184,1125,3.0,6.0,10023.0,D4,3.0,48490.0,667517.0,36.0,500.0,84025800.0,1963.0,-73.9768487,40.7770749,2
698277,1127,3.0,6.0,10023.0,D4,3.0,34532.0,490265.0,28.0,146.0,57959100.0,1890.0,-73.9751874,40.7780077,2
698861,1184,3.0,6.0,10023.0,D4,3.0,9257.0,172671.0,22.5,130.0,20002050.0,1946.0,-73.9845891,40.7801365,2
699234,1202,3.0,6.0,10024.0,RM,4.0,7550.0,112854.0,23.0,39.0,19232016.0,1990.0,-73.9685721,40.7868826,2
699692,1233,3.0,6.0,10024.0,R4,3.0,4904.0,47549.0,21.0,42.0,7420509.0,1988.0,-73.9775598,40.7881116,2
700068,1268,2.0,4.0,10019.0,O4,5.0,47725.0,817095.0,38.0,1.0,154740600.0,1964.0,-73.9787457,40.7612271,0
700069,1275,2.0,4.0,10017.0,O4,5.0,4950.0,92949.0,22.0,42.0,6263100.0,1914.0,-73.9804882,40.7521972,0
700070,1279,2.0,4.0,10017.0,P9,8.0,9105.0,174895.0,22.0,138.0,11234250.0,1915.0,-73.9775244,40.754,0
700076,1291,2.0,4.0,10022.0,O4,5.0,36803.0,685125.0,37.0,7.0,159455250.0,1984.0,-73.9735042,40.7614621,0
700093,1258,2.0,4.0,10110.0,O4,5.0,20920.0,659122.0,58.0,154.0,113013900.0,1931.0,-73.981206,40.75391,3
700115,1270,2.0,4.0,10019.0,H1,5.0,12552.0,252405.0,23.0,9.0,61303500.0,1905.0,-73.9754029,40.7616299,0
700125,1361,2.0,4.0,10022.0,HS,5.0,10364.0,143033.0,26.0,182.0,13366800.0,1929.0,-73.9660902,40.7533439,0
700206,1378,2.0,4.0,10065.0,D4,3.0,8450.0,130923.0,23.0,102.0,18648450.0,1926.0,-73.9705742,40.7670277,2
700252,1381,2.0,4.0,10065.0,D4,3.0,16916.0,223000.0,21.0,102.0,25398900.0,1963.0,-73.9667291,40.7678912,2
700752,1406,2.0,4.0,10021.0,D4,3.0,15121.0,208800.0,22.0,112.0,20679750.0,1955.0,-73.9627278,40.7701352,2
700837,1413,2.0,4.0,10075.0,D4,3.0,15961.0,216186.0,21.0,44.0,29023200.0,1929.0,-73.9602337,40.7752094,2
700909,1491,2.0,4.0,10075.0,D4,3.0,12243.0,202777.0,25.0,46.0,27184050.0,1968.0,-73.9632005,40.7770411,2
701020,1492,2.0,4.0,10075.0,D9,3.0,10318.0,155544.0,21.0,72.0,13814550.0,1963.0,-73.9602545,40.7766724,2
704092,250,13.0,33.0,11201.0,O4,5.0,13750.0,293137.0,29.0,1.0,29774250.0,1926.0,-73.9910064,40.6933564,1
704110,250,13.0,33.0,11241.0,O4,5.0,12500.0,290440.0,37.0,102.0,35740800.0,1927.0,-73.9908621,40.6936089,1
704214,255,13.0,33.0,11201.0,O4,5.0,5800.0,110000.0,23.0,60.0,9926550.0,1918.0,-73.9911074,40.6929831,1
704381,265,15.0,33.0,11201.0,D4,3.0,8450.0,180000.0,32.0,109.0,11926800.0,1928.0,-73.9916413,40.691877,1
715841,155,2.0,1.0,10007.0,O4,5.0,16700.0,354169.0,21.0,1.0,35825400.0,1925.0,-74.003903,40.714022,0
