,borough,block,schooldist,council,zipcode,bldgclass,landuse,lotarea,bldgarea,numfloors,unitstotal,assesstot,yearbuilt,longitude,latitude,Cluster
201558,MN,1288,2.0,4.0,10022.0,O4,5.0,7531.0,164722.0,30.0,1.0,29781000.0,1929.0,-73.974292,40.7591896,0
201567,MN,1287,2.0,4.0,10022.0,O4,5.0,21843.0,360000.0,23.0,37.0,61967250.0,1986.0,-73.97412259999999,40.7584951,0
201577,MN,1287,2.0,4.0,10022.0,O4,5.0,12501.0,244668.0,24.0,29.0,31542300.0,1929.0,-73.9744943,40.7587834,0
201582,MN,1288,2.0,4.0,10022.0,O4,5.0,6861.0,134039.0,21.0,2.0,26685000.0,1929.0,-73.9741187,40.7594503,0
201595,MN,1285,2.0,4.0,10017.0,O4,5.0,16575.0,401686.0,42.0,7.0,85057650.0,1931.0,-73.976101,40.75763920000001,0
201601,MN,1290,2.0,4.0,10022.0,O4,5.0,11715.0,236665.0,21.0,49.0,36207900.0,1958.0,-73.9722413,40.7602925,0
201606,MN,1307,2.0,4.0,10022.0,O4,5.0,11050.0,268106.0,35.0,45.0,43407000.0,1983.0,-73.9716033,40.7580609,0
201607,MN,1283,2.0,4.0,10017.0,O4,5.0,80333.0,1351000.0,52.0,2.0,108763650.0,1958.0,-73.9759897,40.7559814,0
201620,MN,1299,2.0,4.0,10017.0,O4,5.0,17573.0,629323.0,43.0,17.0,102332700.0,1982.0,-73.97409959999999,40.7527476,0
201621,MN,1290,2.0,4.0,10022.0,O4,5.0,7280.0,135000.0,25.0,28.0,16880400.0,1985.0,-73.97254079999999,40.7604188,0
201623,MN,1290,2.0,4.0,10022.0,O4,5.0,12552.0,272532.0,37.0,43.0,60466500.0,1971.0,-73.97376070000001,40.760932399999994,0
201629,MN,1315,2.0,4.0,10017.0,O4,5.0,18993.0,380000.0,28.0,92.0,53970300.0,1958.0,-73.97441459999999,40.7502719,0
201630,MN,1300,2.0,4.0,10169.0,O4,5.0,69153.0,1212596.0,34.0,1.0,222435000.0,1929.0,-73.9761058,40.754392200000005,0
201635,MN,1302,2.0,4.0,10017.0,H3,5.0,3348.0,43314.0,22.0,91.0,6538500.0,2014.0,-73.972666,40.7544161,0
201637,MN,1316,2.0,4.0,10017.0,O4,5.0,18578.0,289356.0,31.0,50.0,37296900.0,1966.0,-73.9738693,40.7510156,0
201645,MN,1283,2.0,4.0,10017.0,O4,5.0,7556.0,117629.0,22.0,42.0,14697900.0,1928.0,-73.97703270000001,40.7565772,0
201646,MN,1336,2.0,4.0,10017.0,RM,4.0,10050.0,110149.0,28.0,80.0,16563614.0,1983.0,-73.9712564,40.7505594,0
201662,MN,1303,2.0,4.0,10017.0,O4,5.0,22083.0,490020.0,50.0,80.0,56789550.0,1983.0,-73.97178509999999,40.7550115,0
201667,MN,1301,2.0,4.0,10017.0,O4,5.0,81336.0,1586876.0,45.0,35.0,373849200.0,1966.0,-73.9747233,40.75462520000001,0
201682,MN,1304,2.0,4.0,10022.0,O4,5.0,24100.0,526124.0,41.0,56.0,92158650.0,1970.0,-73.9713553,40.7556345,0
201689,MN,1306,2.0,4.0,10022.0,O4,5.0,15062.0,304640.0,35.0,16.0,45078300.0,1984.0,-73.97076259999999,40.7572125,0
201867,MN,1284,2.0,4.0,10017.0,O4,5.0,25005.0,656428.0,45.0,38.0,120366000.0,1984.0,-73.97702159999999,40.7572304,0
203011,BK,146,13.0,33.0,11201.0,D6,4.0,7491.0,91981.0,21.0,106.0,8739000.0,2015.0,-73.9841338,40.6909375,1
203013,BK,146,13.0,33.0,11201.0,O4,5.0,18600.0,393686.0,35.0,4.0,27105750.0,2018.0,-73.9838272,40.6911241,1
203042,BK,140,13.0,33.0,11201.0,H2,5.0,10400.0,212087.0,24.0,2.0,15542100.0,2005.0,-73.98842090000001,40.6932107,1
203043,BK,145,13.0,33.0,11201.0,H2,5.0,6198.0,94420.0,24.0,1.0,9148950.0,2007.0,-73.9846492,40.691689600000004,1
203045,BK,148,13.0,33.0,11201.0,D7,4.0,15534.0,456082.0,51.0,494.0,49792050.0,2009.0,-73.98595440000001,40.692741,1
203048,BK,149,13.0,33.0,11201.0,D7,4.0,46367.0,667250.0,72.0,418.0,19788750.0,1908.0,-73.9823922,40.690402,1
203054,BK,145,13.0,33.0,11201.0,H1,5.0,9005.0,173000.0,25.0,1.0,16428600.0,2007.0,-73.98466009999999,40.6914838,1
203095,BK,161,15.0,33.0,11201.0,H3,5.0,3400.0,48495.0,22.0,1.0,3449700.0,2019.0,-73.9818879,40.688480600000005,1
203100,BK,157,15.0,33.0,11201.0,D6,4.0,61925.0,706521.0,52.0,485.0,55005750.0,2018.0,-73.98496340000001,40.6897875,1
203106,BK,161,15.0,33.0,11201.0,D6,4.0,15015.0,333461.0,43.0,329.0,21330000.0,2018.0,-73.98151999999999,40.688788,1
203142,BK,153,15.0,33.0,11201.0,D6,4.0,13229.0,233431.0,21.0,126.0,14914800.0,2019.0,-73.9887745,40.6915721,1
203333,BK,2060,13.0,33.0,11201.0,O4,5.0,5591.0,332608.0,23.0,1.0,461250.0,2020.0,-73.9831489,40.6925842,1
215936,QN,79,30.0,26.0,11101.0,O4,5.0,82161.0,1359110.0,49.0,11.0,98641350.0,1987.0,-73.94406409999999,40.747058100000004,2
216886,MN,1542,2.0,5.0,10075.0,D4,3.0,33944.0,431000.0,21.0,452.0,38812950.0,1961.0,-73.95288070000001,40.7728901,0
217941,BK,7052,21.0,47.0,11224.0,D6,4.0,95245.0,453758.0,24.0,334.0,9520200.0,1970.0,-73.99368259999999,40.5736893,1
221199,MN,779,2.0,3.0,10001.0,D6,4.0,6897.0,101476.0,21.0,96.0,12775050.0,2014.0,-73.993648,40.7484109,0
221279,MN,779,2.0,3.0,10001.0,D7,4.0,4543.0,54441.0,23.0,56.0,5812650.0,2018.0,-73.9933918,40.7483011,0
227300,MN,1037,2.0,3.0,10036.0,H2,5.0,14752.0,243912.0,27.0,2.0,27947250.0,2014.0,-73.9881637,40.7602403,0
